movie_name,movie_opening,movie_weekend,movie_firstweek,movie_total,movie_total_worldwide,movie_genre,movie_director,release_date,release_day,release_month,release_year,runtime,producer,banner,actors,movie_details
Angrezi Medium,4.03,9.03,9.36,9.36,13.5,"Drama, Comedy",Homi Adajania,"13 March, 2020 ",13,Mar,2020,145," Dinesh Vijan , Jyoti Deshpande"," Maddock Films, Jio Studios"," Irrfan Khan , Radhika Madan, Kareena Kapoor","When his daughter decides to further her studies in London, a hardworking Rajasthani businessman does everything in power to make her dreams come true."
Baaghi 3,17.5,53.83,90.67,93.37,137.0,Action,Ahmed Khan,"06 March, 2020 ",6,Mar,2020,147, Sajid Nadiadwala," Nadiadwala Grandson Entertainment, Fox Star Studios"," Tiger Shroff , Shraddha Kapoor, Riteish Deshmukh",A man embarks on a bloody rampage to save his kidnapped brother.
Thappad,3.07,14.66,22.79,30.61,44.5,"Drama, Social",Anubhav Sinha,"28 February, 2020 ",28,Feb,2020,142," Bhushan Kumar , Krishan Kumar, Anubhav Sinha"," Benaras Media Works, T-Series Super Cassettes Industries Ltd."," Taapsee Pannu , Pavail Gulati, Dia Mirza",Thappad is a story of Amrita whose seemingly perfect life is shattered when her husband slaps her once in a party. But is one slap enough to question what a relationship stands for?
Shubh Mangal Zyada Saavdhan,9.55,32.66,44.84,62.78,86.39,"Comedy, Romance",Hitesh Kewalya,"21 February, 2020 ",21,Feb,2020,120," Aanand L Rai , Himanshu Sharma, Bhushan Kumar"," Colour Yellow Productions Pvt Ltd, T-Series Super Cassettes Industries Ltd."," Ayushman Khurana , Jitendra Kumar, Gajraj Rao","The road to achieving a happy ending is a little too rough for Kartik and Aman. While Aman's family tries hard to battle his love for Kartik, Kartik isn't prepared to step back until he marries Aman."
Bhoot: Part One - The Haunted Ship,5.1,16.36,24.18,31.97,40.94,Horror,Bhanu Pratap Singh,"21 February, 2020 ",21,Feb,2020,117," Hiroo Johar , Karan Johar, Apoorva Mehta"," Dharma Productions, Zee Studios"," Vicky Kaushal , Bhumi Pednekar, Ashutosh Rana",A couple is trapped on an abandoned ship lying static on a beach.
Love Aaj Kal,12.0,26.0,32.6,34.99,52.6,Romance,Imtiaz Ali,"14 February, 2020 ",14,Feb,2020,141," Dinesh Vijan , Imtiaz Ali"," Maddock Films, Jio Studios, Reliance Entertainment"," Kartik Aaryan , Sara Ali Khan, Arushi Sharma","Two different individuals on a journey of love, loss and life through the phases of Reincarnation."
Malang,6.71,25.36,39.65,58.04,76.3,"Romance, Action",Mohit Suri,"07 February, 2020 ",7,Feb,2020,134," Bhushan Kumar , Krishan Kumar, Luv Ranjan"," Luv Films, Northern Lights Films, T-Series Super Cassettes Industries Ltd."," Aditya Roy Kapur , Disha Patani, Anil Kapoor","Advait visits Goa where he meets Sara, a free-spirited girl who lives life unshackled. Opposites attract and all goes well until life turns upside down. Years later, Advait is on a killing spree with cops Aghase and Michael in his way."
Shikara,1.2,4.95,6.7,7.95,0.0,"Drama, Romance",Vidhu Vinod Chopra,"07 February, 2020 ",7,Feb,2020,120, Vidhu Vinod Chopra, Fox Star Studios," Sadia , Aadil Khan",Shikara is the story of resilience in the face of insurmountable odds. It's also the story of a love that remains unextinguished through 30 years of exile. A timeless love story in the worst of times.
Jawaani Jaaneman,3.24,12.83,20.21,27.91,43.83,"Comedy, Drama",Nitin Kakkar,"31 January, 2020 ",31,Jan,2020,119," Jackky Bhagnani , Deepshikha Deshmukh, Saif Ali Khan"," Pooja Entertainment, Black Knight Films, Northern Lights Films"," Saif Ali Khan , Alaya F, Tabu",A 40 year-old playboy's life turns upside down when he comes to know that he has a 20 something year-old daughter.
Panga,2.7,14.91,21.36,25.64,41.58,"Sports, Drama",Ashwiny Iyer Tiwari,"24 January, 2020 ",24,Jan,2020,129, Fox Star Studios, Fox Star Studios," Kangana Ranaut , Jassie Gill, Richa Chadda","Panga is inspired from the life of a national level Kabbadi player from India. It follows her triumphs, struggle and overcoming of stereotypes. It shows how important the love and support of your family is for you to be successful."
