Title,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent
Avengers: Endgame,"$2,797,501,328","$858,373,000",30.70%,"$1,939,128,328",69.30%
Star Wars: Episode VII - The Force Awakens,"$2,068,223,624","$936,662,225",45.30%,"$1,131,561,399",54.70%
Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.10%,"$1,369,544,272",66.90%
Spider-Man: No Way Home,"$1,906,693,477","$804,793,477",42.20%,"$1,101,900,000",57.80%
Jurassic World,"$1,670,400,637","$652,270,625",39%,"$1,018,130,012",61%
The Lion King,"$1,656,943,394","$543,638,043",32.80%,"$1,113,305,351",67.20%
The Avengers,"$1,518,812,988","$623,357,910",41%,"$895,455,078",59%
Furious 7,"$1,515,047,671","$353,007,020",23.30%,"$1,162,040,651",76.70%
Top Gun: Maverick,"$1,488,732,821","$718,732,821",48.30%,"$770,000,000",51.70%
Frozen II,"$1,450,026,933","$477,373,578",32.90%,"$972,653,355",67.10%
Avengers: Age of Ultron,"$1,402,805,868","$459,005,868",32.70%,"$943,800,000",67.30%
Black Panther,"$1,346,913,161","$700,059,566",52%,"$646,853,595",48%
Harry Potter and the Deathly Hallows: Part 2,"$1,341,511,219","$381,011,219",28.40%,"$960,500,000",71.60%
Star Wars: Episode VIII - The Last Jedi,"$1,332,539,889","$620,181,382",46.50%,"$712,358,507",53.50%
Jurassic World: Fallen Kingdom,"$1,308,467,944","$417,719,760",31.90%,"$890,748,184",68.10%
Frozen,"$1,280,802,282","$400,738,009",31.30%,"$880,064,273",68.70%
Beauty and the Beast,"$1,263,521,126","$504,014,165",39.90%,"$759,506,961",60.10%
Incredibles 2,"$1,242,805,359","$608,581,744",49%,"$634,223,615",51%
The Fate of the Furious,"$1,236,005,118","$226,008,385",18.30%,"$1,009,996,733",81.70%
Iron Man 3,"$1,214,811,252","$409,013,994",33.70%,"$805,797,258",66.30%
Minions,"$1,159,398,397","$336,045,770",29%,"$823,352,627",71%
Captain America: Civil War,"$1,153,296,293","$408,084,349",35.40%,"$745,211,944",64.60%
Aquaman,"$1,148,461,807","$335,061,807",29.20%,"$813,400,000",70.80%
Spider-Man: Far from Home,"$1,131,927,996","$390,532,085",34.50%,"$741,395,911",65.50%
Captain Marvel,"$1,128,274,794","$426,829,839",37.80%,"$701,444,955",62.20%
Transformers: Dark of the Moon,"$1,123,794,079","$352,390,543",31.40%,"$771,403,536",68.60%
Skyfall,"$1,108,561,013","$304,360,277",27.50%,"$804,200,736",72.50%
Transformers: Age of Extinction,"$1,104,054,072","$245,439,076",22.20%,"$858,614,996",77.80%
Avatar: The Way of Water,"$1,100,800,853","$338,000,853",30.70%,"$762,800,000",69.30%
The Dark Knight Rises,"$1,081,041,287","$448,139,099",41.50%,"$632,902,188",58.50%
Joker,"$1,074,251,311","$335,451,311",31.20%,"$738,800,000",68.80%
Star Wars: Episode IX - The Rise of Skywalker,"$1,074,144,248","$515,202,542",48%,"$558,941,706",52%
Toy Story 4,"$1,073,394,593","$434,038,008",40.40%,"$639,356,585",59.60%
Toy Story 3,"$1,066,969,703","$415,004,880",38.90%,"$651,964,823",61.10%
Rogue One: A Star Wars Story,"$1,056,057,273","$532,177,324",50.40%,"$523,879,949",49.60%
Aladdin,"$1,050,693,953","$355,559,216",33.80%,"$695,134,737",66.20%
Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802","$241,071,802",23.10%,"$804,642,000",76.90%
Despicable Me 3,"$1,034,799,409","$264,624,300",25.60%,"$770,175,109",74.40%
Finding Dory,"$1,028,570,889","$486,295,561",47.30%,"$542,275,328",52.70%
Alice in Wonderland,"$1,025,467,110","$334,191,110",32.60%,"$691,276,000",67.40%
Zootopia,"$1,023,784,195","$341,268,248",33.30%,"$682,515,947",66.70%
The Hobbit: An Unexpected Journey,"$1,017,003,568","$303,003,568",29.80%,"$714,000,000",70.20%
Jurassic World: Dominion,"$1,001,136,080","$376,009,080",37.60%,"$625,127,000",62.40%
Harry Potter and the Deathly Hallows: Part 1,"$976,536,918","$295,983,305",30.30%,"$680,553,613",69.70%
Despicable Me 2,"$970,766,005","$368,065,385",37.90%,"$602,700,620",62.10%
The Jungle Book,"$966,550,600","$364,001,123",37.70%,"$602,549,477",62.30%
Jumanji: Welcome to the Jungle,"$962,077,546","$404,515,480",42%,"$557,562,066",58%
The Hobbit: The Desolation of Smaug,"$958,366,855","$258,366,855",27%,"$700,000,000",73%
The Hobbit: The Battle of the Five Armies,"$956,019,788","$255,119,788",26.70%,"$700,900,000",73.30%
Doctor Strange in the Multiverse of Madness,"$955,775,804","$411,331,607",43%,"$544,444,197",57%
Minions: The Rise of Gru,"$939,433,210","$369,500,210",39.30%,"$569,933,000",60.70%
Bohemian Rhapsody,"$903,655,259","$216,428,042",24%,"$687,227,217",76%
The Battle at Lake Changjin,"$902,548,476","$342,411",<0.1%,"$902,206,065",100%
Spectre,"$880,674,609","$200,074,609",22.70%,"$680,600,000",77.30%
Spider-Man: Homecoming,"$880,166,924","$334,201,140",38%,"$545,965,784",62%
Ice Age: Continental Drift,"$877,244,782","$161,321,843",18.40%,"$715,922,939",81.60%
The Secret Life of Pets,"$875,457,937","$368,384,330",42.10%,"$507,073,607",57.90%
Batman v Superman: Dawn of Justice,"$873,634,919","$330,360,194",37.80%,"$543,274,725",62.20%
Wolf Warrior 2,"$870,325,439","$2,721,100",0.30%,"$867,604,339",99.70%
The Hunger Games: Catching Fire,"$865,011,746","$424,668,047",49.10%,"$440,343,699",50.90%
Guardians of the Galaxy Vol. 2,"$863,756,051","$389,813,101",45.10%,"$473,942,950",54.90%
Inside Out,"$857,611,174","$356,461,711",41.60%,"$501,149,463",58.40%
Venom,"$856,085,151","$213,515,506",24.90%,"$642,569,645",75.10%
Thor: Ragnarok,"$853,977,126","$315,058,289",36.90%,"$538,918,837",63.10%
The Twilight Saga: Breaking Dawn - Part 2,"$829,746,820","$292,324,737",35.20%,"$537,422,083",64.80%
Inception,"$826,137,188","$292,576,195",35.40%,"$533,560,993",64.60%
"Hi, Mom","$822,009,764",-,-,"$822,009,764",100%
Wonder Woman,"$821,847,012","$412,563,408",50.20%,"$409,283,604",49.80%
Fantastic Beasts and Where to Find Them,"$814,037,575","$234,037,575",28.80%,"$580,000,000",71.20%
Coco,"$807,816,196","$210,460,015",26.10%,"$597,356,181",73.90%
Black Panther: Wakanda Forever,"$806,857,711","$431,554,851",53.50%,"$375,302,860",46.50%
Jumanji: The Next Level,"$801,693,929","$320,314,960",40%,"$481,378,969",60%
Pirates of the Caribbean: Dead Men Tell No Tales,"$794,861,794","$172,558,876",21.70%,"$622,302,918",78.30%
Mission: Impossible - Fallout,"$791,115,104","$220,159,104",27.80%,"$570,956,000",72.20%
Fast & Furious 6,"$788,679,850","$238,679,850",30.30%,"$550,000,000",69.70%
Deadpool,"$782,612,155","$363,070,709",46.40%,"$419,541,446",53.60%
No Time to Die,"$774,153,007","$160,891,007",20.80%,"$613,262,000",79.20%
Guardians of the Galaxy,"$772,776,600","$333,176,600",43.10%,"$439,600,000",56.90%
The Batman,"$770,836,163","$369,345,583",47.90%,"$401,490,580",52.10%
Thor: Love and Thunder,"$760,928,081","$343,256,830",45.10%,"$417,671,251",54.90%
Fast & Furious Presents: Hobbs & Shaw,"$760,732,926","$173,956,935",22.90%,"$586,775,991",77.10%
Maleficent,"$758,410,378","$241,410,378",31.80%,"$517,000,000",68.20%
The Amazing Spider-Man,"$757,930,663","$262,030,663",34.60%,"$495,900,000",65.40%
The Hunger Games: Mockingjay - Part 1,"$755,356,711","$337,135,885",44.60%,"$418,220,826",55.40%
